disease,cell_type,down_genes,down_reg_scores,up_genes,up_reg_scores
DOID:1240,B Cell Lymphocyte,"['MIRNLET7D' 'MIRNLET7G' 'MIRNLET7C' 'MIRNLET7B' 'MIRN15A' 'MIRN29A'
 'MIRN342' 'MIRN26B' 'MIRNLET7E' 'MIRN423' 'MIRN23B' 'MIRN15B' 'MIRN20A'
 'MIRN23A' 'MIRN21' 'MIRN28' 'MIRN339' 'MIRN373' 'MIRN98' 'MIRN95']","['-0.6032065749168396' '-0.49166399240493774' '-0.37975117564201355'
 '-0.24260178208351135' '-0.2248706817626953' '-0.17874650657176971'
 '-0.17070098221302032' '-0.17059645056724548' '-0.13064226508140564'
 '-0.08549463003873825' '-0.07643131166696548' '-0.07131033390760422'
 '-0.06401757895946503' '-0.06051357090473175' '-0.057997602969408035'
 '-0.040535230189561844' '-0.027559759095311165' '-0.011682866141200066'
 '-0.0053116194903850555' '-0.0006688082357868552']","['MIRN18A' 'MIRN25' 'MIRN148A' 'MIRN93' 'MIRN328' 'MIRN323' 'MIRN337'
 'MIRN326' 'MIRN10A' 'MIRN345' 'MIRN346' 'MIRN10B' 'MIRN32' 'MIRN367'
 'MIRN22' 'MIRN424' 'MIRN338']","['0.02107345126569271' '0.017946461215615273' '0.01773965172469616'
 '0.011190112680196762' '0.009159163571894169' '0.008205904625356197'
 '0.007839051075279713' '0.007787140551954508' '0.0067133172415196896'
 '0.005436982028186321' '0.003890087828040123' '0.0037106499075889587'
 '0.0013844792265444994' '0.0012346281437203288' '0.00088671431876719'
 '0.00026943779084831476' '0.00013330703950487077']"
DOID:10591,Placenta,"['OR7A10' 'DNAI2' 'DEFA3' 'ABCB8' 'IL20' 'INTS6-AS1' 'CORO6' 'ANKRD20A9P'
 'MMP1' 'METTL21C' 'ZNF83' 'S100A8' 'TRIM66' 'MMP7' 'MFI2-AS1' 'COASY'
 'SCGB1D1' 'LMNTD1' 'KCND1' 'CAMP']","['-0.10038889199495316' '-0.07733052223920822' '-0.055525101721286774'
 '-0.05534502863883972' '-0.0511854849755764' '-0.04614456370472908'
 '-0.04485907405614853' '-0.04176546633243561' '-0.039953261613845825'
 '-0.039501938968896866' '-0.037907592952251434' '-0.03727605193853378'
 '-0.035857826471328735' '-0.035449933260679245' '-0.03451232612133026'
 '-0.033699288964271545' '-0.03344402089715004' '-0.03337768465280533'
 '-0.03297026455402374' '-0.03207773342728615']","['LEP' 'CRH' 'INHBA' 'FSTL3' 'HTRA4' 'CXCL8' 'ANKRD37' 'CGB' 'PLIN2'
 'FLT1' 'PAPPA2' 'WDR86-AS1' 'LTF' 'TREM1' 'PROCR' 'PSG9' 'GPER1' 'ENTPD1'
 'SNRPG' 'CBLC']","['0.16935595870018005' '0.09644939750432968' '0.06638951599597931'
 '0.06472741812467575' '0.06362602859735489' '0.061308152973651886'
 '0.05487765371799469' '0.05313128978013992' '0.052866339683532715'
 '0.04853976517915726' '0.04470980167388916' '0.044235710054636'
 '0.04351460188627243' '0.04335503280162811' '0.04266047850251198'
 '0.04216198995709419' '0.0421442948281765' '0.04080497473478317'
 '0.040321215987205505' '0.03929773345589638']"
DOID:5603,Blood monocyte,"['RGS2' 'PLEK' 'GPR183' 'HSPA1B' 'CEBPD' 'DNAJB1' 'SAT1' 'HSPA6' 'HMOX1'
 'RELT' 'SLC17A1' 'MS4A7' 'LILRB3' 'GABARAPL1' 'HLA-DRA' 'C9orf72' 'HSPH1'
 'TTC5' 'MCL1' 'CD83']","['-0.3419916331768036' '-0.21757015585899353' '-0.19483652710914612'
 '-0.1876707375049591' '-0.1537342220544815' '-0.14942969381809235'
 '-0.14854024350643158' '-0.11865957081317902' '-0.1060086116194725'
 '-0.10567784309387207' '-0.09818398952484131' '-0.09111472219228745'
 '-0.08396962285041809' '-0.08294196426868439' '-0.07411367446184158'
 '-0.07274466753005981' '-0.07109067589044571' '-0.06603652238845825'
 '-0.061808183789253235' '-0.05941249057650566']","['DUSP6' 'MAFB' 'CD14' 'NAPSB' 'CD52' 'TSC22D3' 'FOS' 'DUSP1' 'CD48'
 'HLA-DPA1' 'PCDHGA10' 'LCP1' 'NRGN' 'IRF2BPL' 'SELL' 'TIAM2' 'HLA-DRB4'
 'HLA-DQB1' 'C10orf35' 'IQCD']","['0.23078623414039612' '0.20958639681339264' '0.13264943659305573'
 '0.1213696300983429' '0.11419610679149628' '0.10938866436481476'
 '0.09332909435033798' '0.07567054033279419' '0.0732496827840805'
 '0.06657052040100098' '0.06276192516088486' '0.05994926393032074'
 '0.05668952316045761' '0.053322359919548035' '0.05182410776615143'
 '0.04913923144340515' '0.04715263098478317' '0.04471934959292412'
 '0.044377997517585754' '0.04181595519185066']"
DOID:2801,Lung Tissue,"['C13orf15' 'PPP1R14A' 'PRX' 'DUOXA1' 'SDPR' 'IFI27' 'NPAS3' 'SLC26A1'
 'C18orf23' 'SFTPB' 'CCDC50' 'FAM148A' 'MYCT1' 'MAOA' 'LIMCH1' 'GPRIN2'
 'TEK' 'RHOBTB2' 'NEXN' 'CDV3']","['-0.23005644977092743' '-0.19364526867866516' '-0.19076001644134521'
 '-0.17320223152637482' '-0.1489415168762207' '-0.14695261418819427'
 '-0.10762906819581985' '-0.10707340389490128' '-0.10564403235912323'
 '-0.10371330380439758' '-0.08746630698442459' '-0.08412548154592514'
 '-0.07913065701723099' '-0.07554774731397629' '-0.07165026664733887'
 '-0.07011780887842178' '-0.06888897716999054' '-0.06863225251436234'
 '-0.0679934024810791' '-0.06771129369735718']","['RRAD' 'CXCL14' 'COL1A2' 'CD52' 'HLA-DPB1' 'LST1' 'AQP9' 'LOC100129858'
 'CYP4B1' 'DMD' 'CLIC5' 'ZNF552' 'FOXJ1' 'RSPH1' 'C20orf82' 'DPT' 'ADAM8'
 'WFDC2' 'APOC1' 'COL5A2']","['0.3728449046611786' '0.28406837582588196' '0.21330353617668152'
 '0.16000689566135406' '0.14062581956386566' '0.1298389881849289'
 '0.120040662586689' '0.1026923805475235' '0.10125858336687088'
 '0.0874381735920906' '0.08535879850387573' '0.08400814980268478'
 '0.0780540406703949' '0.07795725762844086' '0.07759185880422592'
 '0.07280763238668442' '0.07221028208732605' '0.06860081106424332'
 '0.06173425912857056' '0.058292798697948456']"
DOID:11723,quadriceps,"['ENO3' 'PYGM' 'ALDOA' 'HBA2' 'MYH7' 'CRYAB' 'UBC' 'HBB' 'FHL1' 'MYBPC2'
 'TNNI1' 'ATP2A1' 'TPT1' 'TNNT1' 'MYBPC1' 'HADHB' 'RPS23' 'IL32' 'TNNI2'
 'TXNIP']","['-0.14721274375915527' '-0.12653785943984985' '-0.12084932625293732'
 '-0.10326884686946869' '-0.09827780723571777' '-0.09606040269136429'
 '-0.09573665261268616' '-0.09565059095621109' '-0.0927664190530777'
 '-0.0920209214091301' '-0.0885395035147667' '-0.08560668677091599'
 '-0.08333931863307953' '-0.08325984328985214' '-0.07992883026599884'
 '-0.07466413080692291' '-0.07415871322154999' '-0.0732395127415657'
 '-0.07197491079568863' '-0.06897304952144623']","['ACTC1' 'B2M' 'EEF1A1' 'SLN' 'MYL6B' 'MYH8' 'C3' 'COL1A2' 'MYLPF'
 'EEF1A1P9' 'MYL1' 'TPM2' 'RPLP0' 'IFITM3' 'HLA-DRB5' 'ISG15' 'RPL41'
 'HLA-B' 'HLA-DRB4' 'HLA-A']","['0.22241078317165375' '0.18766309320926666' '0.17584887146949768'
 '0.1714421808719635' '0.16464711725711823' '0.16367225348949432'
 '0.14955942332744598' '0.13573165237903595' '0.1262894868850708'
 '0.12414425611495972' '0.12333235144615173' '0.11614765226840973'
 '0.11329525709152222' '0.11213357001543045' '0.1061691865324974'
 '0.10265891253948212' '0.0992453545331955' '0.09563545882701874'
 '0.09523198008537292' '0.09376861155033112']"
DOID:6432,Peripheral blood mononuclear cell,"['RPS16' 'IL7R' 'RPS29' 'RPS5' 'RPL3' 'TXNIP' 'RPLP1' 'RPL4' 'TMSB4X'
 'RPS17' 'DEFA1B' 'RPL14' 'RPS23' 'RPS28' 'TAGLN2' 'RPL39' 'EEF1A1'
 'RPS25' 'EIF4B' 'RPS6']","['-0.1362694501876831' '-0.127075657248497' '-0.125257670879364'
 '-0.11956014484167099' '-0.11429271101951599' '-0.1107543334364891'
 '-0.10984965413808823' '-0.10721758008003235' '-0.1065429300069809'
 '-0.0980197861790657' '-0.08439143747091293' '-0.08418289572000504'
 '-0.07758253067731857' '-0.0763334333896637' '-0.06983662396669388'
 '-0.06848014891147614' '-0.06810866296291351' '-0.0669909417629242'
 '-0.06320778280496597' '-0.06274604797363281']","['HBD' 'NFKBIA' 'MT2A' 'SLC36A2' 'PSAP' 'ALAS2' 'IFITM1' 'IL1B' 'CAP1'
 'CLU' 'ZFP36' 'YWHAB' 'HBG2' 'CD14' 'FTL' 'EIF1' 'LGALS3' 'UBC' 'JUND'
 'RPL27A']","['0.3946287930011749' '0.18736238777637482' '0.1680973768234253'
 '0.1464938372373581' '0.12143830209970474' '0.11482156068086624'
 '0.10313697904348373' '0.09831590205430984' '0.09013620018959045'
 '0.08918719738721848' '0.08912050724029541' '0.08906397968530655'
 '0.08339307457208633' '0.08321940153837204' '0.08098376542329788'
 '0.07996978610754013' '0.07950153201818466' '0.07700648158788681'
 '0.07647126913070679' '0.07603047043085098']"
DOID:11664,Glomeruli,"['MT2A' 'MT1H' 'BHMT' 'MT1F' 'PCK1' 'GPX3' 'MT1HL1' 'VCAM1' 'SLC7A7'
 'TMEM176A' 'ASS1' 'PTPRO' 'IER2' 'DDAH1' 'FOS' 'ACAT1' 'MT1E' 'IER3'
 'SYNPO' 'CYP2B7P']","['-0.1351260095834732' '-0.12221723049879074' '-0.10811739414930344'
 '-0.1073947548866272' '-0.10044317692518234' '-0.0910320058465004'
 '-0.08940283954143524' '-0.0879979059100151' '-0.08688563108444214'
 '-0.08116506040096283' '-0.08024445921182632' '-0.07842091470956802'
 '-0.07518533617258072' '-0.07380541414022446' '-0.07376500964164734'
 '-0.07376191020011902' '-0.06377117335796356' '-0.06013258546590805'
 '-0.058885809034109116' '-0.05131154507398605']","['HBA2' 'HLA-B' 'EHD3' 'HBB' 'A2M' 'HLA-DRB5' 'HLA-DRB4' 'APOD' 'CRHBP'
 'TMSB10' 'DEFB1' 'HLA-DPB1' 'MGP' 'CD9' 'EMCN' 'PPAP2A' 'CD74' 'FCN3'
 'HLA-E' 'IFITM2']","['0.1602848321199417' '0.1447705179452896' '0.13966992497444153'
 '0.13184918463230133' '0.11842551827430725' '0.11722557246685028'
 '0.11347665637731552' '0.11201248317956924' '0.10941392928361893'
 '0.10310319066047668' '0.10153558850288391' '0.09964486211538315'
 '0.09294114261865616' '0.09166453033685684' '0.0829438790678978'
 '0.08188026398420334' '0.08050812035799026' '0.08024561405181885'
 '0.07815320789813995' '0.07346159219741821']"
DOID:1928,Fibroblast cell lines - 3 years,"['ELN' 'COL1A2' 'PPAP2B' 'TUBA1C' 'ID1' 'GARS' 'PTX3' 'CXCL12' 'FN1'
 'COL5A2' 'CTGF' 'SERPINH1' 'RPS26' 'LOC100288985' 'TIMP3' 'SLC38A2'
 'PSAT1' 'ID2' 'TUBA1A' 'DPT']","['-0.25348252058029175' '-0.1499626487493515' '-0.12501002848148346'
 '-0.12380628287792206' '-0.11469965428113937' '-0.11364307254552841'
 '-0.11124058067798615' '-0.1107175350189209' '-0.10974258184432983'
 '-0.10909707844257355' '-0.10219177603721619' '-0.09731748700141907'
 '-0.07962718605995178' '-0.07582742720842361' '-0.07489436119794846'
 '-0.07268849015235901' '-0.07107225060462952' '-0.07066913694143295'
 '-0.07016965001821518' '-0.06771120429039001']","['IGFBP3' 'S100A4' 'TGFBI' 'GAPDH' 'LGALS1' 'TMSB10' 'IFITM2' 'LOX' 'RPSA'
 'ADM' 'LOXL1' 'IGFBP6' 'OXTR' 'GREM1' 'TENM2' 'PABPC3' 'HLA-C' 'MYL12B'
 'RPL21' 'IFITM3']","['0.2145732194185257' '0.19753022491931915' '0.18169641494750977'
 '0.17525389790534973' '0.16856928169727325' '0.15783563256263733'
 '0.12867650389671326' '0.10423365980386734' '0.10310730338096619'
 '0.09212984889745712' '0.08742498606443405' '0.08401172608137131'
 '0.0758020281791687' '0.0743418037891388' '0.07275434583425522'
 '0.06914151459932327' '0.06913411617279053' '0.06844346970319748'
 '0.06732805073261261' '0.0672585591673851']"
DOID:2154,Renal Tissue,"['HBG2' 'HBA2' 'COL1A2' 'HBB' 'VIM' 'PODXL' 'NPHS2' 'RPS4Y1' 'ANXA2'
 'PTPRO' 'TMSB4XP8' 'HMGN3' 'MAFB' 'RPL3' 'GPC3' 'ID1' 'MYL12B' 'MAL'
 'ATP1B1' 'CD81']","['-0.579922616481781' '-0.42338648438453674' '-0.10225377976894379'
 '-0.10129950195550919' '-0.09710894525051117' '-0.09357825666666031'
 '-0.07197323441505432' '-0.06711152195930481' '-0.06657475978136063'
 '-0.05975216254591942' '-0.05478331074118614' '-0.05267138406634331'
 '-0.05037396401166916' '-0.04955396428704262' '-0.04797390475869179'
 '-0.04770892113447189' '-0.04664936289191246' '-0.046373363584280014'
 '-0.045048922300338745' '-0.04414159432053566']","['RPL32' 'RPL7A' 'RPL39' 'FAM60A' 'RPL37' 'CALM2' 'TUBA1A' 'HMGA2'
 'TMSB15A' 'RPS7' 'TUBA1B' 'RPS10' 'GAPDH' 'CRABP2' 'RPS23' 'XIST' 'RPL30'
 'RPS27' 'H3F3AP4' 'RPL36A']","['0.09498154371976852' '0.09424931555986404' '0.09271077066659927'
 '0.09222380816936493' '0.09194076061248779' '0.08722420036792755'
 '0.08294927328824997' '0.07708042114973068' '0.07464177161455154'
 '0.07426086813211441' '0.07401731610298157' '0.07401273399591446'
 '0.06770332902669907' '0.0648052841424942' '0.0637175664305687'
 '0.06274095922708511' '0.06221424788236618' '0.06204626336693764'
 '0.059554021805524826' '0.058874379843473434']"
DOID:2998,Testis,"['ANKRD7' 'DYNLRB2' 'ADAD1' 'ZPBP' 'INSL3' 'GSTA1' 'TNP1' 'MLF1' 'ROPN1L'
 'CRISP2' 'VCX2' 'NME5' 'RIMBP3' 'ROPN1' 'LDHC' 'MTL5' 'ADAM2' 'CMTM2'
 'TEX101' 'MS4A5']","['-0.48453909158706665' '-0.29693901538848877' '-0.23236212134361267'
 '-0.18824084103107452' '-0.18224377930164337' '-0.13836967945098877'
 '-0.13039682805538177' '-0.11924005299806595' '-0.1080264151096344'
 '-0.10781911015510559' '-0.1056637316942215' '-0.10209555923938751'
 '-0.09988127648830414' '-0.09884960204362869' '-0.09753832221031189'
 '-0.09342655539512634' '-0.09312248229980469' '-0.09207768738269806'
 '-0.08116310089826584' '-0.07679658383131027']","['LEFTY1' 'NLRP2' 'PQLC3' 'DNMT3L' 'GDF3' 'HLA-DPA1' 'TACSTD1' 'CYP26A1'
 'OLFML3' 'SPINK1' 'HBB' 'C1QA' 'RSPO3' 'HLA-DPB1' 'COL3A1' 'CCND2'
 'ATP1A2' 'HAPLN1' 'COL1A1' 'PCSK5']","['0.06722472608089447' '0.0636717677116394' '0.059765152633190155'
 '0.05569463595747948' '0.048455026000738144' '0.048269543796777725'
 '0.04808758944272995' '0.04547860845923424' '0.04540777578949928'
 '0.04006985202431679' '0.03895547240972519' '0.03619466722011566'
 '0.03594984486699104' '0.03528736159205437' '0.03508947044610977'
 '0.032920826226472855' '0.03260128200054169' '0.03247121721506119'
 '0.030651584267616272' '0.029970569536089897']"
