Gene,DOID:1240,DOID:6432,Citalopram,Hypochlorous acid,Azacitidine,Imatinib,Apratoxin a,Hydroxyzine,Diclofenac,Curcumin,Cetuximab,Adenosine triphosphate,Lmp-420,Paclitaxel,Alfacalcidol,Epz004777,Ethanol,Mln4924,"2,2',4,4',5,5'-hexachlorobiphenyl   (pcb-153)",Sangivamycin (nsc 65346),Arc (nsc 188491),Trastuzumab,Pertuzumab,Tamoxifen,Casiigly,Phenol,Rosiglitazone,Imatinib (glivec),Fluticasone,Letrozole,Interferon gamma-1b,Mercury,Nitric oxide,Bicalutamide,Gamma-tocotrienol,Nvp-tnks656,Aplidin,Nicotine,Trovafloxacin,Levofloxacin,Grepafloxacin,Clinafloxacin,Cocaine,Formoterol,Neocarzinostatin,Sb 216763,Mk-886,Pbde 85,Methylphenidate,Antimony,Chromium,Temozolomide,Folic acid,Cholestyramine,Oprelvekin,Carboplatin,Carboplatin (30 h),Carboplatin (36 h),Methotrexate,Cycloheximide,Etanercept,Lapatinib,Deferasirox,Vanadium pentoxide,Bexarotene,Insulin,Vemurafenib,Cadmium,Zinc acetate,Bpde,Chlorpyrifos,Cyfluthrin,Dasatinib,Azathioprine,Pioglitazone,Arachidonic acid,Motexafin gadolinium,"2,3,7,8-tetrachlorodibenzo-p-dioxin (tcdd)",4-hydroxynonenal,Nvp-tnks656 (tankyrase inhibitor),Gatifloxacin,"Puromycin, ec50, 5 d","2,3,7,8-tetrachlorodibenzo-p-dioxin","Puromycin, ec50, 1 d","Puromycin, ec50, 3 d",Hydrocortisone,Sapphyrin pci-2050 (1.25 &icirc;&frac14;m),Sapphyrin pci-2050 (2.5 &icirc;&frac14;m),"1,25 dihydroxyvitamin d","1,2,4-benzenetriol",Testosterone,Ubiquinol,Y15,4-hydroxytamoxifen,Metoprolol,Decitabine,Sorafenib,Torcetrapib,Nickel,Rituximab,Pimecrolimus,Nilotinib,Actinomycin d,Cigarette smoke,Nsc319726,Foretinib,Hodgkin lymphoma,DOID:3498,Harman,Plx4032,Isotretinoin,Metformin,Dexamethasone,Vx,Sirolimus,Fenretinide,Carboplatin (24 h),DOID:2154,DOID:2394,Tretinoin,Cisplatin,Ribavirin,Argyrin a,Calcitriol,Pd173074,Cediranib,Ciprofloxacin,Interferon beta-1b,Sevoflurane,Interferon beta-1a,Tibolone,DOID:0050589,DOID:971,Gefitinib,Cytarabine,Motexafin gadolinium (4 h),Luteolin,Telapristone acetate,Mycophenolic acid,"2,3-dimethoxy-1,4-naphtoquinone (dmnq)",Thapsigargin,Bortezomib,DOID:0050742,"Dmnq   (2,3-dimethoxy-1,4-naphthoquinone)",Mesalazine,Laminin,Bisphenol a,"Puromycin, 2xec50, 1d",Arsenic,Laccaic acid,Resveratrol,Triiodothyronine-[13c6] hydrochloride (t3 thyronine),DOID:5082,Plx4720,Estradiol,Phorbol 12-myristate 13-acetate (pma),Chlorambucil,Sulforaphane,Promegestone,Mek inhibitor (meki : azd6244),Aminolevulinic acid,Atorvastatin,Anastrozole,DOID:3910,Abiraterone,Lipopolysaccharide,Celecoxib,"3,3',4,4'-tetrachlorobiphenyl",DOID:381,Doxycycline,Natural alpha interferon,Quercetin,"Puromycin, 2xec50, 3 d",Androstanolone,Heregulin,Lysophosphatidic acid,Propofol,R1881,Fgfr-specific pd173074 inhibitor,DOID:7147,DOID:9008,DOID:5409,Bleomycin,DOID:4556,DOID:419,DOID:13949,Fluorouracil,Colchicine,DOID:9256,DOID:4450,Doxorubicin
MIRNLET7D,-0.6032065749168396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRNLET7G,-0.49166399240493774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRNLET7C,-0.37975117564201355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRNLET7B,-0.24260178208351135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN15A,-0.2248706817626953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIRN29A
",-0.17874650657176971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN342,-0.17070098221302032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN26B,-0.17059645056724548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRNLET7E,-0.13064226508140564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN423,-0.08549463003873825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN23B,-0.07643131166696548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN15B,-0.07131033390760422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIRN20A
",-0.06401757895946503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN23A,-0.06051357090473175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN21,-0.057997602969408035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN28,-0.040535230189561844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN339,-0.027559759095311165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN373,-0.011682866141200066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN98,-0.0053116194903850555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIRN95,-0.0006688082357868552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS16,,-0.1362694501876831,0.0122,0.0285,0.0603,0.0213,0.0611,0.02,0.085,0.0375,0.0667,0.0318,0.0729,0.0115,0.016,0.0159,0.0251,0.0215,0.0164,0.0358,0.0387,0.043,0.0835,0.0198,0.013,0.0257,0.0137,0.0364,0.0152,0.0234,0.0203,0.0225,0.0352,0.023,0.0243,0.0199,0.0756,0.0389,0.0408,0.0293,0.0378,0.0453,0.0524,0.0324,0.0421,0.0297,0.0282,0.0262,0.0146,0.012,0.0202,0.0336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL7R,,-0.127075657248497,,,,,,0.0462,,,,,,,,,,,,,,,,,,,,,,,,,0.0158,,,,,,,,,,,0.0194,,,,,,,,,0.0239,0.0327,0.0312,0.0203,0.0331,0.0466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS29,,-0.125257670879364,0.0104,0.0199,0.0647,0.0417,0.0297,,0.0749,,,0.0182,,0.0426,,,,0.0433,0.0576,0.0762,0.0725,,,0.0333,0.0492,0.0363,0.0631,0.1026,0.0614,,0.0141,0.0173,0.1598,0.0931,0.0284,0.038,0.1008,0.035,0.0647,0.0167,0.0437,0.0526,0.0222,0.0577,0.0473,,0.0734,,0.0599,0.032,,,,,,,,,0.0139,0.0376,0.0414,0.0403,0.04,0.0179,0.0379,0.1215,0.0342,0.0269,0.0363,0.0226,0.0953,0.0156,0.0595,0.0107,0.0198,0.0105,0.0365,0.0371,0.0659,0.0235,0.0171,0.05,0.1135,0.0787,0.0187,0.0628,0.0269,0.0235,0.0227,0.0717,0.0244,0.1557,0.0227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS5,,-0.11956014484167099,0.0475,,0.0574,,0.0314,,0.0175,,0.0139,,,,,,,,0.0472,0.0375,0.0254,0.0208,,0.0272,0.0453,0.0334,0.0487,0.0776,0.0332,0.0159,0.0247,0.0657,0.0578,0.1391,,0.024,0.0269,,0.0306,0.0162,0.0253,0.0259,,0.0362,0.1438,0.0248,0.0555,,0.0748,0.0505,0.0507,0.048,,,0.019,,,,,,,,0.0373,0.0261,,0.0101,,,,0.0964,0.058,0.0223,,,,,0.0641,,0.0303,0.0179,,,,,,0.0582,0.0181,0.0086,0.0219,,,,0.0361,0.0423,0.0159,0.0345,0.0681,0.014,0.0444,0.022,0.0188,0.017,0.0223,0.033,0.0439,0.019,0.1091,-0.04660651832818985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL3,,-0.11429271101951599,0.0255,,0.0497,,0.0673,0.0295,0.0215,0.0133,,,,,,,,0.0356,0.0465,,,,,,0.0666,,,0.0466,0.0679,0.056,,,0.0723,0.1138,,0.024,0.08,,0.0243,,0.0211,,,0.0385,,0.0409,0.0836,,0.0674,,,,,,,0.0421,0.0146,,0.04,,0.0503,,0.0636,,,,,0.0636,,,0.0625,0.1069,0.0325,,0.0265,,0.0238,,0.0513,0.0161,,,0.0286,,,0.0598,,0.0136,0.0264,,,,,,,,0.0128,,0.0245,,,,0.0496,0.0235,,0.0481,,,0.0492,0.0208,0.03,0.0274,0.0128,0.0217,0.0485,0.0198,0.0482,-0.04955396428704262,-0.10147362947463989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXNIP,,-0.1107543334364891,,,,0.0119,0.0124,0.0685,,,,0.0485,,,,,0.2546,,0.0194,0.2813,0.1684,0.0201,,,,0.0208,,0.0125,0.0318,0.0229,,,,0.0151,0.0171,,0.0313,,,,,,,0.0183,,,,,0.0147,,,0.0977,,,0.0351,,0.0181,0.016,,0.1281,0.0411,,0.0414,,0.0249,,0.0916,,,,0.0318,0.0253,,,0.0215,,,0.0086,,,,,,,,0.0389,,,,,,0.0094,0.0396,,,,,,0.0271,0.096,0.0336,0.0511,,0.0187,,0.0228,,,0.0104,0.106,,0.0327,0.096,,0.0191,,,,,0.0475,0.0353,0.0486,0.0135,0.1139,0.0524,0.0172,0.0181,0.0963,0.0222,0.0611,0.0555,-0.05725093185901642,-0.05892418697476387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPLP1,,-0.10984965413808823,,0.0203,0.0807,,0.1125,,0.1438,,,,,,,,,,,,,,,,,,0.0466,0.1024,0.0389,0.0907,0.0466,0.0171,0.0061,,0.0424,,0.039,,0.0624,,0.0527,0.0551,0.0314,0.0351,0.0144,0.0352,,,,,,,,,,,,,,,,0.069,,,0.083,0.0254,0.0218,,,,,,0.023,,,,,0.0379,,,0.0426,,,0.0449,0.0612,,,,,0.0363,,,0.0202,,,,0.0911,,,,,0.0341,,,,,0.0121,,,0.0187,,0.0184,,,,,,,,,,,,,,,0.0238,,,,,,,0.0272,0.0653,0.0195,0.0145,0.0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL4,,-0.10721758008003235,0.0179,,0.0787,,0.0165,,0.078,0.0299,,,,,0.0262,,,0.0334,0.0528,0.0345,0.0131,,,,0.0467,0.0167,,,0.0118,,0.0226,0.0132,0.0993,0.1046,,0.042,0.0537,,0.0384,,0.0247,0.0318,0.0287,,,,0.1559,0.0224,0.0482,,0.0157,,0.0309,,0.0167,0.036,0.0204,0.0178,,,,,0.029,0.0506,,,,0.1367,,,0.0512,0.0299,0.0757,,0.0181,,0.017,,0.0328,0.022,,,,,0.0681,0.0796,0.0307,,0.0264,,,,0.0255,0.0313,,,0.0115,,,,,,0.0795,0.0467,,,,,,,0.0188,,,0.0194,0.0773,,0.0477,,,,,,,,,,,,,,,,,,0.0441,,,0.0155,0.0146,0.0209,0.0304,0.009,-0.14619119465351105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TMSB4X
",,-0.1065429300069809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS17,,-0.0980197861790657,,0.0185,,0.0181,0.026,,0.0421,,,,,0.0313,,,,,0.0356,0.0282,,,0.0427,,0.0335,0.0331,0.0619,0.0219,0.0647,,,0.0693,0.0531,0.0346,,,0.0425,0.0129,0.0336,,0.0304,0.0374,0.0339,0.0199,,0.0544,0.0502,,,0.0366,0.0856,,,,,,,,,,0.0283,0.0472,,,0.0204,0.0166,,0.0408,,0.0264,0.0401,,0.0678,,0.0427,,,,0.0427,,,,,,,0.035,0.0168,,0.0239,,,0.0483,0.0143,,,,,,,,,,0.0317,,,,,,,0.0161,,0.038,,,,,,,,,,,,,,,,,,,,,,0.0204,,0.0079,,0.0653,,,,,,0.0612,0.0145,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEFA1B,,-0.08439143747091293,,,,,,0.2806,,,,,,,,,,,,,,,,,,,,0.0592,,,,,0.0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0767,,,,0.0572,,,,,,,,,,,,,,,,,,,0.1571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL14,,-0.08418289572000504,,,,0.0108,,0.0223,0.0154,,,,0.0171,,,,,,,,,,,,0.0114,0.0316,,,0.0261,,,0.0596,0.0168,0.0112,,0.0241,,,,,,0.0073,,,,,,,,0.0107,0.0886,,,,,,,,,,,,,0.0174,,,,,,,0.0181,,,,,,0.0173,,,0.0177,,0.0333,,0.0284,,0.0172,0.0079,,0.0179,,,,,,,,,,,,,,0.0246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0233,,,0.0376,0.0249,0.0364,0.0176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS23,,-0.07758253067731857,,0.042,0.1262,,0.0434,0.0177,0.0632,,,,,,0.0289,,0.049,,,0.0403,0.0386,,,,,,0.099,0.0756,0.048,,,0.0401,0.01,0.0135,0.0182,,0.0873,,0.0749,0.0314,0.083,0.0775,,0.0341,,0.0175,,,,,0.0208,,0.0491,,,,,,0.1084,,,0.0153,,,,,,,,,,,,,,,0.0221,,,,,0.0233,,,0.0267,,,,0.0178,,,,,,,,,,,,0.0275,0.0254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0686,,,,,,,,-0.07109421491622925,0.0145,,,,,,,0.0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS28,,-0.0763334333896637,,,,,,,,,,,,,0.0104,,,,,0.0153,,,,,,,,,0.0304,,,,,,,,,0.0372,,,,,0.0376,,0.0234,0.0841,,,,0.0147,,,,0.0245,,,,,,,,0.0742,,,,,0.0745,,,,,,,,,,,,,,,,0.0126,,,,,,,,,,,,,,0.1257,,,,,,,,,,,,,,,,0.0095,,,,,,,,,,,,,,,,,,,,,0.0444,,,0.0554,,,,,0.0209,,0.0112,,,,,,,,0.0526,-0.12481337040662766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGLN2,,-0.06983662396669388,0.0148,0.0217,,,0.0294,,,0.0928,0.0135,,,,0.0271,,,,,,,,0.0145,,,,0.0173,,,,,,,,,0.0196,,,0.0076,,,0.0068,,,,,,,,,,0.0299,,,0.0309,,,,,,,,,,0.0229,,,,0.0235,,,0.0304,,,,,0.0271,,,,,,,,,,0.0127,,0.0158,0.0164,,,,,,,,,,0.0323,0.0231,,,,,,0.0204,,0.0115,,0.0135,,,,,,,,,,,0.0643,,,,,,0.0141,,,,,,,0.0244,,,,,,0.0207,,,,,,0.0192,,,,,,,0.0318,0.0183,0.0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPL39,,-0.06848014891147614,0.0331,,0.1292,0.0347,,,0.1625,,,0.0641,,0.04,0.0147,,,0.0285,0.0785,0.1395,0.0769,0.0361,,,0.0811,,0.097,0.1308,,,,0.0171,0.1936,0.0697,,0.0548,0.0345,0.0254,0.0839,0.1359,0.0811,0.0735,,0.0144,0.0149,,0.1014,,0.014,0.0074,,,,,,,,,,0.022,0.074,,0.042,0.0355,,,0.025,,,0.1008,0.0211,,0.027,,0.0582,0.0195,,,0.0186,0.0408,0.056,0.0254,,0.1328,0.0382,0.0129,0.0356,0.0087,,0.0572,,0.2213,0.0279,,,,,,,,,0.0386,,,0.0308,0.0169,,,,,,,,,,,,,,,,,,,,,0.0356,,,,,-0.06198471412062645,,0.0377,0.058,,0.0151,,,,0.0218,,,,,,,0.0494,,,,,,,,,0.0444,0.0314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EEF1A1
",,-0.06810866296291351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPS25,,-0.0669909417629242,0.0114,,0.0332,0.0332,,,0.0733,0.017,,0.0251,,0.0381,,,,0.0353,0.0364,0.0555,0.037,0.057,0.0229,,0.0303,0.0189,,0.0664,0.0305,,,,0.1117,0.0943,,0.04,,,0.016,0.0163,0.0155,0.0157,0.0976,,0.0192,0.0199,0.0271,0.0223,,,,0.0306,,,,,,,0.0145,,0.0589,,,0.0269,,,,,0.0296,0.0227,0.0516,0.0642,0.0734,0.0156,,,,,0.0356,0.0339,,0.0373,0.0883,0.0313,,0.0334,0.0806,0.029,0.0634,0.0324,0.0123,0.1001,0.0388,0.0268,,,,,,,,0.0238,0.0673,,0.0206,,,,0.0232,,,,,,0.0232,0.0289,,,,,,,,,,0.0376,,,,,,,,,,0.0133,,,,0.0169,,,,,,,0.0318,0.0348,,,,,,,,,,,0.0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
